OBJECTID,OccurredFrom_Timestamp,OccurredThrough_Timestamp,Reported_Timestamp,Statute_Text,Statute_Description,Weapon_Description,Larceny_Type,Location_Type,x,y
90366,1583539200000,1583541000000,1583563680000,Robbery,Robbery 2nd: Aided By Another                               ,Knife/Cutting Instrument,* No Larceny Type Specified *,Street,-77.61681080368008,43.16990463515544
90485,1582632000000,1585569600000,1585596000000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Other Outside Location,-77.63258997333432,43.16842891216026
90552,1583314800000,1583330400000,1583347320000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Other Outside Location,-77.62435792572026,43.12360794627447
90553,1582552800000,1582582380000,1582606080000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Hospital,-77.62435792572026,43.12360794627447
90554,1581694200000,1581922800000,1582220820000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Building,Hospital,-77.62435792572026,43.12360794627447
90555,1581342300000,1581342300000,1581367500000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Hospital,-77.62435792572026,43.12360794627447
91428,1584143880000,1584143880000,1584158280000,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Knife/Cutting Instrument,* No Larceny Type Specified *,Single Family Home,-77.63494010089396,43.16997684017406
91434,1583179200000,1583219700000,1583238600000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.63052509117662,43.16998827869287
91457,1583554860000,1583554860000,1583572860000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Knife/Cutting Instrument,* No Larceny Type Specified *,Multiple Dwelling,-77.61089055529447,43.183847152985855
91508,1582937100000,1582938000000,1582989600000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,-77.59491235203336,43.17583737618856
91586,1583085600000,1583146800000,1583170800000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.63786932603855,43.17345838035968
91609,1581643860000,1581643860000,1581661860000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.64384028901908,43.16181508317385
91706,1581539400000,1581588000000,1581607620000,Burglary,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,* No Weapon Specified *,* No Larceny Type Specified *,Other Outside Location,-77.65235004912607,43.14109225008595
91812,1584291600000,1584302400000,1584323220000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.6267225236112,43.16453014136621
91913,1584980400000,1584980400000,1584994680000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Knife/Cutting Instrument,* No Larceny Type Specified *,Multiple Dwelling,-77.63034641541954,43.16566828864178
92024,1581334860000,1581334860000,1581352860000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Street,-77.60572542460092,43.146186637405236
92032,1584273600000,1584343800000,1584358500000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Street,-77.6055772735745,43.142804465534375
92190,1581656700000,1581657060000,1581675060000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.6376981052183,43.186393257788815
92229,1583509200000,1583509200000,1583527500000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Firearm,* No Larceny Type Specified *,Street,-77.62962121163606,43.16590331487473
92283,1582055280000,1582055280000,1582073280000,Robbery,Robbery 1st: Use/Threatens Use of Dangerous Instrument      ,Knife/Cutting Instrument,* No Larceny Type Specified *,Multiple Dwelling,-77.63447367483715,43.18246121601712
92331,1584133200000,1584174900000,1584189300000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.62273468576754,43.14998147951884
92387,1585598400000,1585647900000,1585665600000,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,* No Weapon Specified *,Theft from Motor Vehicle,Single Family Home,-77.59775764821116,43.171904035819885
92404,1580821200000,1580835600000,1585496700000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Building,Multiple Dwelling,-77.60411864722849,43.193079124473634
92416,1583852400000,1583852400000,1583870520000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,-77.64329714368942,43.172469549205275
92518,1584152040000,1584157320000,1584171720000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.62450219163588,43.15322253232927
92529,1584480600000,1584516600000,1584542100000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,-77.59109172437606,43.153076011291816
92556,1581547380000,1581547440000,1581565500000,Burglary,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,* No Weapon Specified *,* No Larceny Type Specified *,Garage/Shed,-77.64366351161593,43.17146742083539
92566,1582160400000,1582160700000,1582179360000,Robbery,Robbery 2nd: Displays What Appears To Be a Firearm          ,Firearm,* No Larceny Type Specified *,Street,-77.60644403051765,43.1932707497971
92570,1581249720000,1581249720000,1581267720000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Single Family Home,-77.65363068068295,43.148069073961814
92666,1584069420000,1584069420000,1584084900000,Burglary,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,* No Weapon Specified *,* No Larceny Type Specified *,Buy/Sell/Trade Shop,-77.61264747855918,43.17427721032317
92704,1584896400000,1585146300000,1585164600000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.65187452559131,43.14454040610722
92754,1581901200000,1581926400000,1581947400000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Other Outside Location,-77.58450307024908,43.1749484961877
92814,1585353600000,1585357200000,1585405320000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Knife/Cutting Instrument,* No Larceny Type Specified *,Multiple Dwelling,-77.64484827880246,43.16753509807103
92830,1582635600000,1582637400000,1582831800000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.5756044825083,43.16788473740471
92834,1583994600000,1583995620000,1584010020000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Street,-77.6262795814738,43.14208153197343
92863,1581019080000,1581019080000,1581037080000,Aggravated Assault,Assault 2nd: Cause Injury to Non Participant During Commissi,Personal Weapons,* No Larceny Type Specified *,Single Family Home,-77.62273294382798,43.15066229015514
92921,1584749280000,1584749280000,1584763680000,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Semiautomatic Handgun,* No Larceny Type Specified *,Street,-77.59425955498965,43.175797030074726
93034,1585009740000,1585010100000,1585027260000,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Knife/Cutting Instrument,* No Larceny Type Specified *,Yard,-77.60251122115717,43.18061061382289
93124,1585503420000,1585503420000,1585517820000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Multiple Dwelling,-77.62625990368039,43.15967939650495
93152,1584359520000,1584374400000,1584471300000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Single Family Home,-77.64650378909596,43.160175551719085
93234,1584659700000,1584660060000,1584674460000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Semiautomatic Handgun,* No Larceny Type Specified *,Street,-77.62345688816339,43.143633391168585
93354,1581463800000,1581463800000,1581481920000,Robbery,Robbery 1st: Forcible Theft Armed With a Deadly Weapon      ,Fully Automatic Handgun or Submachine Gun,* No Larceny Type Specified *,Yard,-77.56963029677827,43.16483205402349
93361,1582891200000,1582911000000,1583422200000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Single Family Home,-77.58107479769853,43.167749987047806
93371,1580927400000,1581012000000,1581036000000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Street,-77.59393396484703,43.14575932105211
93662,1583427000000,1583427060000,1583452680000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Building,Multiple Dwelling,-77.60761207999829,43.14373240331473
93670,1585425600000,1585494000000,1585509120000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,-77.63970722676937,43.178220560589835
93671,1584480600000,1584519300000,1584534300000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,-77.63970722676937,43.178220560589835
93672,1584468000000,1584518400000,1584534000000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,-77.63970722676937,43.178220560589835
93787,1583996400000,1583996400000,1584011160000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.61086179231634,43.176031098211645
93880,1582811580000,1582811580000,1583857800000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Other Outside Location,-77.59694950118974,43.17946383950962
93971,1581157800000,1581330600000,1581353100000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Parking Lot,-77.60856643517968,43.16103469005318
94474,1581264000000,1581264000000,1581541080000,Larceny,Grand Larceny 4th: Credit Card                              ,* No Weapon Specified *,All Other Larcenies,Single Family Home,-77.6411554225309,43.16854303495267
94486,1581937200000,1581955200000,1582060500000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Other Outside Location,-77.62887351403401,43.193015757014635
94598,1584476040000,1584476100000,1585140480000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Single Family Home,-77.59450488521355,43.182581358533525
94599,1582570800000,1582574400000,1582851000000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Single Family Home,-77.59450488521355,43.182581358533525
94719,1585326000000,1585326000000,1585340400000,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Blunt Object,* No Larceny Type Specified *,Multiple Dwelling,-77.57619633153178,43.16485516058173
94777,1580827500000,1580827500000,1581534000000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Mailbox,Single Family Home,-77.62763882959457,43.14570958338054
94851,1581636600000,1581668400000,1581687180000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Street,-77.57129044461848,43.16582990405803
94980,1583332680000,1583332680000,1583948700000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Other Residential,-77.64841947539136,43.16704747612228
95035,1581170280000,1581170280000,1581188280000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Shoplifting,Grocery/Supermarket,-77.65101789326994,43.15099560268534
95634,1582560900000,1582560900000,1582580400000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,-77.64311807973722,43.15991133046024
95643,1585186020000,1585187460000,1585201860000,Aggravated Assault,Menacing 2nd: Weapon                                        ,"Revolver, Derringer, or Single-shot Pistol",* No Larceny Type Specified *,Street,-77.64798735197981,43.178618217254964
95662,1585778400000,1585806300000,1585826700000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.60773044579825,43.13335222181566
95747,1582311600000,1582311600000,1582329600000,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Knife/Cutting Instrument,* No Larceny Type Specified *,Street,-77.64814711657418,43.134096401835436
95770,1585064520000,1585064520000,1585078920000,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Other Weapon,* No Larceny Type Specified *,Single Family Home,-77.57871230163273,43.166833005327504
95775,1583271900000,1583271900000,1583289900000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.591474587405,43.167422693124735
95896,1582185600000,1582727160000,1582745160000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,-77.6285770005457,43.13650167548872
96016,1582477800000,1582714800000,1582734900000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,-77.59605699168958,43.145321423302526
64,1584316800000,1584316800000,1584331860000,Robbery,Robbery 2nd: Aided By Another                               ,Firearm,* No Larceny Type Specified *,Street,-77.59649562173604,43.173635079585615
65,1584537300000,1584594000000,1584632820000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Building,College,-77.60112219769564,43.157429943527085
66,1584520200000,1584545400000,1584560040000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Knife/Cutting Instrument,* No Larceny Type Specified *,Multiple Dwelling,-77.59533827724191,43.15258042438088
75,1584176400000,1584180000000,1584365040000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Street,-77.547117456351,43.15776662876424
76,1583998200000,1584045000000,1584069360000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,-77.62438683254646,43.179978577375586
78,1584428400000,1584466200000,1584482040000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,,
79,1583848800000,1583849100000,1584150480000,Robbery,Robbery 3rd                                                 ,Knife/Cutting Instrument,* No Larceny Type Specified *,Street,-77.59092629624233,43.164505484427444
80,1584482460000,1584482460000,1584496860000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Not Reported,-77.5481923464783,43.152313666644694
81,1584306000000,1584306000000,1584344820000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,-77.58907541826945,43.15008117380182
85,1584406800000,1584437400000,1584453720000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Building,College,-77.62670099824422,43.129819000370816
86,1584130800000,1584217200000,1584291540000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Building,Hospital,-77.62435792572026,43.12360794627447
89,1582484400000,1582530660000,1582548660000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.61308991725775,43.14806647669316
90,1584371700000,1584375300000,1584390060000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Building,Hospital,-77.62435792572026,43.12360794627447
105,1583098860000,1583098860000,1583116860000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,-77.55606339535265,43.16047849945524
110,1584037800000,1584038700000,1584054000000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,College,-77.62670099824422,43.129819000370816
114,1582976640000,1582976640000,1582994640000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Shoplifting,Grocery/Supermarket,-77.60978303361935,43.17042783664857
119,1583980200000,1583980200000,1583994780000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Street,-77.63439164471181,43.169347939508825
123,1583858940000,1583858940000,1583873340000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Knife/Cutting Instrument,* No Larceny Type Specified *,Multiple Dwelling,-77.56764077110367,43.16891403730364
124,1582189200000,1583777580000,1583791980000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,-77.58995473478251,43.15096095137674
127,1583008740000,1583008740000,1583026740000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Single Family Home,-77.56047656155924,43.16704117034292
129,1583523000000,1583694000000,1583715780000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,-77.66955111357078,43.16127485543754
132,1583341200000,1583388000000,1583441700000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Single Family Home,-77.58451110668516,43.13858926903212
133,1583697600000,1583698200000,1583716500000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Building,Restaurant,-77.59917754441726,43.1672232636416
134,1583605200000,1583608500000,1583627580000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,-77.5493096231989,43.144506711476076
135,1581361200000,1581364800000,1581387960000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,-77.5493096231989,43.144506711476076
138,1580817600000,1580817600000,1580837400000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Unknown,-77.63165191602111,43.16587222087293
145,1583225280000,1583238600000,1583243280000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Building,College,-77.62968905904826,43.128962539634195
146,1583225280000,1583238600000,1583243280000,Larceny,Grand Larceny 4th: Credit Card                              ,* No Weapon Specified *,Theft from Building,College,-77.62968905904826,43.128962539634195
147,1582534800000,1582837200000,1583531100000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Yard,-77.60220234575692,43.1753977762117
148,1583344800000,1583411400000,1583434800000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Hospital,-77.61803255395742,43.11306949148654
151,1582584600000,1582584600000,1582602840000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,-77.61176182043026,43.18395128498404
152,1583336400000,1583344800000,1583363820000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Building,Hospital,-77.62435792572026,43.12360794627447
153,1583317800000,1583363640000,1583383740000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,-77.6094647276219,43.172142646813846
154,1583136960000,1583136960000,1583154960000,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Knife/Cutting Instrument,* No Larceny Type Specified *,Other Residential,-77.6094647276219,43.172142646813846
161,1583017200000,1583026020000,1583044020000,Aggravated Assault,Assault 3rd: With Crim Negligence Cause Injury With Weapon/I,Knife/Cutting Instrument,* No Larceny Type Specified *,Single Family Home,-77.63801719541513,43.18330970185051
162,1582950720000,1582950720000,1582968720000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Firearm,* No Larceny Type Specified *,Multiple Dwelling,,
168,1582655400000,1582665900000,1582685340000,Larceny,Grand Larceny 4th: Credit Card                              ,* No Weapon Specified *,All Other Larcenies,College,-77.62670099824422,43.129819000370816
169,1582443000000,1582475400000,1582835100000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Single Family Home,-77.61079521570566,43.189981904672074
177,1582545600000,1582713900000,1582732140000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,College,-77.62670099824422,43.129819000370816
181,1582562220000,1582562220000,1582580340000,Robbery,Robbery 3rd                                                 ,Personal Weapons,* No Larceny Type Specified *,Street,-77.61418379060659,43.149282094424656
182,1582340400000,1582347600000,1582438440000,Larceny,Grand Larceny 3rd: Property Value Exceeds $3000             ,* No Weapon Specified *,Theft from Building,School,-77.62703264167561,43.12982177278521
184,1582389000000,1582479000000,1582497240000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,-77.6439889994761,43.16886164099263
194,1582254000000,1582290000000,1582310160000,Larceny,Grand Larceny 4th: Credit Card                              ,* No Weapon Specified *,Theft from Building,College,-77.62884799806882,43.12906312535317
196,1582333200000,1582338060000,1582357020000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Street,-77.59670789052686,43.14581895778798
210,1581950700000,1582016400000,1582038840000,Burglary,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,* No Weapon Specified *,* No Larceny Type Specified *,Professional Office,-77.6159983703625,43.1179037882129
215,1582049700000,1582053300000,1582071300000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,-77.59534523905046,43.195439447133595
216,1581744480000,1581744480000,1581762480000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Shoplifting,Multiple Dwelling,-77.59200019084602,43.17054823899124
217,1581914400000,1581915600000,1581933720000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Yard,-77.64159048201785,43.165150870666814
224,1581604200000,1581606900000,1581627780000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,-77.56801827190489,43.16882240860974
225,1581601020000,1581608220000,1581631560000,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,* No Weapon Specified *,All Other Larcenies,School,-77.62435792572026,43.12360794627447
226,1581616800000,1581674400000,1581705000000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,-77.60250049354687,43.19323224035659
227,1582588200000,1582607400000,1582628400000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Pocket-picking,Hospital,-77.62435792572026,43.12360794627447
228,1581490560000,1581490560000,1581508740000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Building,Hospital,-77.62435792572026,43.12360794627447
229,1581087060000,1581087060000,1581105060000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Knife/Cutting Instrument,* No Larceny Type Specified *,Single Family Home,-77.63080105367852,43.14870712360161
230,1582646400000,1582702200000,1582807740000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,-77.63823532237119,43.16076876511349
233,1581541200000,1581578100000,1581596400000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.59741272201568,43.18273290742246
234,1581237000000,1581237000000,1581259800000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Multiple Dwelling,-77.6411427063278,43.167395738207944
235,1581453000000,1581490800000,1581514200000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Street,-77.58400114883543,43.15493539106588
239,1581325200000,1581343200000,1581366600000,Larceny,Grand Larceny 4th: Credit Card                              ,* No Weapon Specified *,Theft from Building,Hospital,-77.62435792572026,43.12360794627447
241,1581163200000,1581170400000,1581366000000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Doctor's Office,-77.63009970103955,43.16417828295853
245,1581087960000,1581088500000,1581106740000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Hospital,-77.62435792572026,43.12360794627447
246,1580988540000,1580989680000,1581265740000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Professional Office,-77.6299455042831,43.13063489926077
247,1581229800000,1581279600000,1581298680000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Building,Hospital,-77.62435792572026,43.12360794627447
248,1580803200000,1580828400000,1581368220000,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,* No Weapon Specified *,All Other Larcenies,Hospital,-77.62435792572026,43.12360794627447
251,1581184800000,1581254100000,1581272760000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.61764734570649,43.176407330172694
254,1580860800000,1580887800000,1580907600000,Burglary,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,* No Weapon Specified *,* No Larceny Type Specified *,Garage/Shed,-77.65601640173853,43.13363454936846
255,1581046200000,1581073200000,1581134220000,Larceny,Grand Larceny 4th: Credit Card                              ,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,-77.60757796673863,43.14619948222214
256,1580918400000,1580990400000,1581009000000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Multiple Dwelling,-77.63568869857856,43.1612228228832
262,1580854680000,1580854800000,1580873280000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,-77.637294810051,43.15993576201164
266,1580812200000,1580812200000,1580830200000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Building,Other Retail Store,-77.61826399410218,43.12342319463819
267,1580810400000,1580815800000,1580834700000,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.62010770868939,43.18016013838391
369,1585411200000,1585488600000,1585506300000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.5817388881529,43.15254145436786
384,1582311600000,1582336800000,1582355460000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.65548953355777,43.14012079921716
396,1583640000000,1583640000000,1583707620000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Yard,-77.62359059315821,43.23225850329627
476,1584218640000,1584218640000,1584233520000,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Knife/Cutting Instrument,* No Larceny Type Specified *,Street,-77.59514253930205,43.13971902367055
477,1584218640000,1584218640000,1584233040000,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Knife/Cutting Instrument,* No Larceny Type Specified *,Street,-77.59514253930205,43.13971902367055
572,1580774460000,1580799600000,1580831100000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Single Family Home,-77.58307080997433,43.15511167641974
577,1581886800000,1581951600000,1581970020000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.58301961666247,43.18044374269838
713,1584587700000,1584587700000,1584729900000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,-77.61953700407192,43.19120169082902
726,1582584300000,1582584300000,1582602300000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Knife/Cutting Instrument,* No Larceny Type Specified *,Single Family Home,-77.65124670836393,43.1890573062789
770,1585425600000,1585425900000,1585493100000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,-77.60250049354687,43.19323224035659
781,1584946800000,1585350000000,1585773600000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Street,-77.54628205010175,43.14734452674137
792,1583514000000,1583533200000,1583552100000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.6422650111336,43.151949348914656
834,1581764400000,1581928200000,1581968880000,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,* No Weapon Specified *,Theft from Motor Vehicle,Parking Garage,-77.60026662321356,43.15107244940517
910,1583964000000,1584014400000,1584654000000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Unknown,-77.60470978223313,43.19331998229882
983,1581966000000,1581966720000,1581984720000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.5717843807866,43.170028908585266
